AirportCodeCityNameWorldAreaCode
ASR,KAYSERI,TURKEY,679
AST,ASTORIA,OREGON,USA,92
ASU,ASUNCION,PARAGUAY,365
ASV,AMBOSELI,KENYA,535
ASW,ASWAN,ARABREP.OFEGYPT,591
ASX,ASHLAND,WISCONSIN,USA,45
ASY,ASHLEY,NORTHDAKOTA,USA,66
ASZ,ASIRIM,PAPUANEWGUINEA,804
ATA,ANTA,PERU,368
ATB,ATBARA,SUDAN,583
ATC,ARTHUR'STOWN,BAHAMAS,204
ATD,ATOIFI,SOLOMONISLAND,874
ATE,ANTLERS,OKLAHOMA,USA,73
ATF,AMBATO,ECUADOR,337
ATG,ATTOCK,PAKISTAN,764
ATH,ATHENS,GREECE,433
ATI,ARTIGAS,URUGUAY,385
ATJ,ANTSIRABE,DEM.REP.OFMADAGASCAR,541
ATK,ATQASUK,ALASKA,USA,1
ATL,ATLANTA,GEORGIA,USA,34
ATM,ALTAMIRA,BRAZIL,316
ATN,NAMATANAI,PAPUANEWGUINEA,804
ATO,ATHENS,OHIO,USA,44
ATP,AITAPE,PAPUANEWGUINEA,804
ATQ,AMRITSAR,INDIA,733
ATR,ATAR,MAURITANIA,545
ATS,ARTESIA,NEWMEXICO,USA,86
ATT,ATMAUTLUAK,ALASKA,USA,1
ATU,ATTUISLAND,ALASKA,USA,1
ATV,ATI,CHAD,511
ATW,APPLETON,WISCONSIN,USA,45
ATX,ATBASAR,KAZAKHSTAN,738
ATY,WATERTOWN,SOUTHDAKOTA,USA,67
ATZ,ASSIUT,EGYPT,591
AUA,ARUBA,ARUBA,277
AUC,ARAUCA,COLOMBIA,327
AUD,AUGUSTUSDOWNS,QLD.,AUSTRALIA,802
AUE,ABURUEDIS,ARABREP.OFEGYPT,591
AUF,AUXERRE,FRANCE,427
AUG,AUGUSTA,MAINE,USA,12
AUH,ABUDHABI,UNITEDARABEMIRATES,678
AUI,AUA,PAPUANEWGUINEA,804
AUJ,AMBUNTI,PAPUANEWGUINEA,804
AUK,ALAKANUK,ALASKA,USA,1
AUL,AUR,MARSHALLISLANDS,844
AUM,AUSTIN,MINNESOTA,USA,63
AUN,AUBURN,CALIFORNIA,USA,91
AUO,AUBURN/OPELIKA,ALABAMA,USA,51
AUP,AGUAN,PAPUANEWGUINEA,804
AUQ,ATUONA,MARQUESASIS.,PAC.OC.,823
AUR,AURILLAC,FRANCE,427
AUS,AUSTIN,TEXAS,USA,74
AUT,ATAURO,INDONESIA,832
AUU,AURUKUNMISSION,QLD.,AUST.,802
AUV,AUMO,PAPUANEWGUINEA,804
AUW,WAUSAU,WISCONSIN,USA,45
AUX,ARAGUAINA,BRAZIL,316
AUY,ANEITYUM,VANUATU,885
AUZ,AURORA,ILLINOIS,USA,41
AVB,AVIANO,ITALY,450
AVC,AVON,COLORADO,USA,82
AVG,AUVERGNE,N.T.,AUSTRALIA,802
AVI,CIEGODEAVILA,CUBA,219
AVK,ARVAIKHEER,MONGOLIA,751
AVL,ASHEVILLE,NORTHCAROLINA,USA,36
AVN,AVIGNON,FRANCE,427
AVO,AVONPARK,FLORIDA,USA,33
AVP,SCRANTON/WILKES-BARRE,PA,USA,23
AVU,AVUAVU,SOLOMONIS.,874
AVV,AVALON,N.S.W.,AUSTRALIA,802
AVW,TUCSON,ARIZONA,USA,81
AVX,CATALINAISLAND,CALIFORNIA,USA,91
AWA,AWASA,ETHIOPIA,522
AWB,AWABA,PAPUANEWGUINEA,804
AWD,ANIWA,VANUATU,885
AWE,ALOWE,GABON,526
AWH,AWAREH,ETHIOPIA,522
AWK,WAKEISLAND,PACIFICOCEAN,5
AWM,WESTMEMPHIS,ARKANSAS,USA,71
AWN,ALTONDOWNS,S.AUSTRALIA,802
AWP,AUSTRALDOWNS,QLD.,AUST.,802
AWR,AWAR,PAPUANEWGUINEA,804
AWZ,AHWAZ,IRAN,632
AXA,ANGUILLA,WESTINDIES,202
AXB,ALEXANDRIABAY,NEWYORK,USA,22
AXC,ARAMAC,QLD.,AUSTRALIA,802
AXD,ALEXANDROUPOLIS,GREECE,433
AXG,ALGONA,IOWA,USA,61
AXK,ATAQ,YEMEN,694
AXL,ALEXANDRIA,N.T.,AUSTRALIA,802
AXM,ARMENIA,COLOMBIA,327
AXN,ALEXANDRIA,MINNESOTA,USA,63
AXP,SPRINGPOINT,BAHAMAS,204
AXR,ARUTUA,FR.POLYNESIA,823
AXS,ALTUS,OKLAHOMA,USA,73
AXT,AKITA,JAPAN,736
AXU,AXUM,ETHIOPIA,522
AXV,WAPAKONETA,OHIO,USA,44
AXX,ANGELFIRE,NEWMEXICO,USA,86
AYA,AYAPEL,COLOMBIA,327
AYC,AYACUCHO,COLOMBIA,327
AYD,ALROYDOWNS,N.T.,AUSTRALIA,802
AYG,YAGUARA,COLOMBIA,327
AYI,YARI,COLOMBIA,327
AYK,ARKALYK,KAZAKHSTAN,738
AYL,ANTHONYLAGOON,N.T.,AUST.,802
AYN,ANYANG,P.R.CHINA,713
AYO,AYOLAS,PARAGUAY,365
AYP,AYACUCHO,PERU,368
AYQ,AYERSROCK,N.T.,AUSTRALIA,802
AYR,AYR,QLD.,AUSTRALIA,802
AYS,WAYCROSS,GEORGIA,USA,34
AYT,ANTALYA,TURKEY,679
AYU,AIYURA,PAPUANEWGUINEA,804
AYW,AYAWASI,INDONESIA,832
AYZ,AMITYVILLE,NEWYORK,USA,22
AZB,AMAZONBAY,PAPUANEWGUINEA,804
AZD,YAZD,IRAN,632
AZG,APATZINGAN,MEXICO,148
AZI,ABUDHABI-BATEEN,U.A.EMIRATES,678
AZN,ANDIZHAN,UZBEKISTAN,788
