Origin,Destination,Count
SEA,PHX,5062
SEA,SAN,2833
SEA,SFO,5409
SEA,SJC,3534
SEA,SLC,3774
SEA,SMF,3642
SEA,SNA,2860
SFO,ATL,3098
SFO,BOS,2594
SFO,DEN,5374
SFO,DFW,3487
SFO,EWR,3137
SFO,IAD,2732
SFO,IAH,2660
SFO,JFK,6971
SFO,LAS,7007
SFO,LAX,13788
SFO,MFR,2570
SFO,ORD,5746
SFO,PDX,2972
SFO,PHL,2554
SFO,PHX,4870
SFO,SAN,6312
SFO,SBA,2991
SFO,SEA,5414
SFO,SLC,4064
SFO,SNA,3955
SGF,DFW,3228
SGU,SLC,2594
SHV,DFW,3579
SJC,BUR,3380
SJC,DEN,3670
SJC,LAS,4176
SJC,LAX,8939
SJC,ONT,2719
SJC,PHX,4027
SJC,SAN,5254
SJC,SEA,3543
SJC,SNA,5383
SJU,JFK,3558
SJU,MIA,2560
SLC,ATL,2866
SLC,BOI,3370
SLC,DEN,9269
SLC,DFW,3149
SLC,IAH,2698
SLC,LAS,5373
SLC,LAX,5178
SLC,OAK,3134
SLC,ORD,2863
SLC,PDX,3289
SLC,PHX,7168
SLC,SAN,2548
SLC,SEA,3771
SLC,SFO,3705
SLC,SGU,2594
SLC,SUN,2903
SMF,BUR,3466
SMF,DEN,3327
SMF,LAS,4064
SMF,LAX,5717
SMF,ONT,3814
SMF,PHX,4115
SMF,SAN,4573
SMF,SEA,3638
SMF,SNA,2503
SNA,DEN,3326
SNA,DFW,3656
SNA,LAS,4130
SNA,OAK,3652
SNA,ORD,2554
SNA,PHX,5477
SNA,SEA,2862
SNA,SFO,3994
SNA,SJC,5401
SRQ,ATL,3327
STL,ATL,3956
STL,DAL,2718
STL,DFW,3597
STL,MDW,3755
STL,ORD,4256
STL,PHX,2763
SUN,SLC,2870
TPA,ATL,7313
TPA,BWI,3402
TPA,CLT,2825
TPA,DFW,2804
TPA,EWR,2837
TPA,FLL,3051
TPA,JFK,3395
TPA,PHL,3380
TUL,DFW,3260
TUS,DFW,2676
TUS,LAX,4190
TUS,PHX,3474
VPS,ATL,3045
XNA,DFW,2781
XNA,ORD,3114
